instalação,zona-olímpica,status,periodo,esportes,picto,custo,obs-custo,quem-paga,quem-executa,depois-dos-jogos,notícias,links-notícias,foto,latitude,longitude,capacidade,entrega-em
Centro Olímpico de BMX,Deodoro,Dentro do prazo,17 a 19 de agosto,Ciclismo - BMX,ciclismo-bmx.png,R$ 647 milhões*,Valor da licitação do Complexo Esportivo de Deodoro,Governo federal,Prefeitura do Rio,Treinamento de atletas e área de lazer para a população,,,Circuito de Canoagem Slalom e Pista de BMX.jpg,-22.846710,-43.400729,7.500 lugares,4º trimestre de 2015
Estádio de Canoagem Slalom,Deodoro,Atenção,7 a 10 de agosto,Canoagem Slalom,canoagem-slalom.png,R$ 647 milhões*,Valor da licitação do Complexo Esportivo de Deodoro,Governo federal,Prefeitura do Rio,Área de lazer,,,Circuito de Canoagem Slalom e Pista de BMX.jpg,-22.847003,-43.403604,8.000 lugares,1º trimestre de 2016
Centro Olímpico de Hipismo,Deodoro,Atenção,10 a 19 de agosto,Hipismo,hipismo.png,"R$ 157,1 milhões",,Governo federal,Prefeitura do Rio,Área de treinamento do Exercito,Operação para transporte de cavalos é o maior desafio logístico da Rio 2016,http://oglobo.globo.com/esportes/operacao-para-transporte-de-cavalos-o-maior-desafio-logistico-da-rio-2016-16513547,hipismo.jpg,-22.875008,-43.401078,35.200 lugares,1º trimestre de 2016
Estádio do Maracanã,Maracanã,Concluído ,16 a 20 de agosto,Futebol e cerimônias de abertura/encerramento,futebol.png,Não definido*,Estruturas temporárias para cerimônias,Rio-2016,Rio-2016,"Seguirá administrado pelo consórcio Maracanã S/A, em parceria com clubes do Rio",Maracanã não terá obra para cerimônia de abertura,http://oglobo.globo.com/esportes/maracana-nao-tera-obras-para-cerimonia-de-abertura-dos-jogos-olimpicos-16182844,maracana.jpg,-22.911886,-43.230513,78.600 lugares,Concluído
Maracanãzinho,Maracanã,Atenção,6 a 21 de agosto,Vôlei de quadra,volei.png,R$ 10 milhões,,Consórcio Maracanã S.A.,Consórcio Maracanã S.A.,"Seguirá administrado pelo consórcio Maracanã S/A, em parceria com clubes do Rio",Obras do Maracanazinho para as Olímpiadas estão em compasso de espera,http://oglobo.globo.com/esportes/obras-do-maracanazinho-para-as-olimpiadas-estao-em-compasso-de-espera-16518074,maracanazinho.jpg,-22.913965,-43.229063,11.800 lugares,1º semestre de 2016
Engenhão (Estádio Olímpíco),Maracanã,Atenção,"12 a 20 de agosto, 3 a 7 de agosto","Atletismo, Futebol","atletismo.png,futebol.png","R$ 52,3 milhões",,Prefeitura do Rio,Prefeitura do Rio,Seguirá utilizado pelo Botafogo,Atraso nas obras pode fazer Engenhão reabrir anel superior com reforma incompleta,http://oglobo.globo.com/esportes/atraso-nas-obras-pode-fazer-engenhao-reabrir-anel-superior-com-reforma-incompleta-16422135,engenhao.jpg,-22.893195,-43.292317,60.000 lugares,2º trimestre de 2016
Sambódromo,Maracanã,Concluído,"14 e 21 de agosto, 6 a 12 de agosto","Maratona, Tiro com Arco","atletismo.png,tiro-com-arco.png",R$ 65 milhões,,Prefeitura do Rio e Rio-2016,Prefeitura do Rio e Rio-2016,Seguirá administrado pela Prefeitura,,,sambodromo.jpg,-22.911179,-43.196819,30.000 lugares,Concluído
Marina da Glória,Copacabana,Preocupante,8 a 18 de agosto,Vela,vela.png,R$ 60 milhões*,,Privado,Privado,Área pública com atividades de lazer; administrado pela concessionária até 2036,Estado admite que fará 'paliativo do paliativo' para garantir vela na Baía de Guanabara,http://oglobo.globo.com/rio/estado-diz-que-fara-paliativo-do-paliativo-para-garantir-vela-na-baia-de-guanabara-16477929,marinadagloria.jpg,-22.915982,-43.170681,10.000 lugares,"1º trimestre de 2016 (*obra da Marina no prazo, porém o estado ainda não cumpriu compromissos de saneamento e coleta de lixo da Baía de Guanabara)"
Estádio de Remo da Lagoa,Copacabana,Preocupante,"6 a 13 de agosto, 15 a 20 de agosto","Remo, Canoagem velocidade","remo.png,canoagem-velocidade.png",R$ 14 milhões,,Estado e Rio-2016,Estado e Rio-2016,Treinamento e competições de remo,Atraso na colocação de estacas vai prejudicar evento-teste dos Jogos na Lagoa,http://oglobo.globo.com/rio/atraso-na-colocacao-de-estacas-vai-prejudicar-evento-teste-dos-jogos-na-lagoa-16328124,prova-remo.jpg,-22.972031,-43.212190,14.000 lugares,2º semestre de 2015
Forte de Copacabana,Copacabana,Dentro do prazo,"6 e 7 de agosto, 15 e 16 de agosto, 18 e 20 de agosto","Ciclismo de estrada, Maratona aquática, Triatlo","ciclismo.png,maratona-aquatica.png,triatlo.png",,,Rio-2016,Rio-2016,Estruturas temporárias serão desmontadas,,,copacabana.jpg,-22.986281,-43.186878,5.000 lugares,Estrutura temporária 
Arena de Vôlei de Praia,Copacabana,Dentro do prazo,6 a 18 de agosto,Vôlei de praia,volei-de-praia.png,,,Rio-2016,Rio-2016,Será desmontada ao final dos jogos,,,copacabana.jpg,-22.964414,-43.168824,12.000 lugares,Estrutura temporária
Aterro do Flamengo,Copacabana,Dentro do prazo,14 e 21 de agosto,Marcha atlética (área em estudo),atletismo.png,,,Rio-2016,Rio-2016,Estruturas temporárias serão desmontadas,,,aterro.jpg,-22.927639,-43.171748,Não definido,Estrutura temporária
